遺伝子family	生物種	diez_vk	遺伝子_ids	遺伝子	KO	OC	AA_length	NT_length	motif	E-Value < = 10e-3	verDB
vir	pvx	PVX_090310	PVX_090310	PVX_090310   hypothetical protein		OC.529957	449	1350	Plasmodium_Vir His_Phos_2	Plasmodium_Vir/1	PVX_090310
vir	pvx	PVX_090315	PVX_090315	PVX_090315   variable surface protein Vir12-like		OC.529957	487	1464	Plasmodium_Vir	Plasmodium_Vir/1	PVX_090315
vir	pvx	PVX_090320	PVX_090320	PVX_090320   hypothetical protein		OC.529957	212	639	Plasmodium_Vir	Plasmodium_Vir/1	PVX_090320
vir	pvx	PVX_090335	PVX_090335	PVX_090335   variable surface protein Vir12-like		OC.529957	435	1308	Plasmodium_Vir	Plasmodium_Vir/1	PVX_090335
vir	pvx	PVX_093710	PVX_093710	PVX_093710   variable surface protein Vir24-related		OC.529957	488	1467	Plasmodium_Vir 3H	Plasmodium_Vir/1	PVX_093710
vir	pvx	PVX_093720	PVX_093720	PVX_093720   variable surface protein Vir24-like		OC.529957	496	1491	Plasmodium_Vir DUF2500	Plasmodium_Vir/2	PVX_093720
vir	pvx	PVX_094240	PVX_094240	PVX_094240   variable surface protein Vir12/24-related		OC.529957	443	1332	Plasmodium_Vir Sec34 BLOC1_2 HalX NPV_P10	Plasmodium_Vir/1	PVX_094240
vir	pvx	PVX_094245	PVX_094245	PVX_094245   variable surface protein Vir12-like		OC.529957	584	1755	Plasmodium_Vir SICA_beta	Plasmodium_Vir/1	PVX_094245
vir	pvx	PVX_094250	PVX_094250	PVX_094250   hypothetical protein		OC.529957	525	1578	Plasmodium_Vir DUF1395	Plasmodium_Vir/2	PVX_094250
vir	pvx	PVX_094260	PVX_094260	PVX_094260   hypothetical protein		OC.529957	198	597	Plasmodium_Vir Mto2_bdg AF0941-like	Plasmodium_Vir/1	PVX_094260
vir	pvx	PVX_095995	PVX_095995	PVX_095995   variable surface protein Vir16/32-related		OC.529957	315	948	Plasmodium_Vir Mad3_BUB1_I	Plasmodium_Vir/1	PVX_095995
vir	pvx	PVX_096000	PVX_096000	PVX_096000   variable surface protein Vir4		OC.529957	353	1062	Plasmodium_Vir	Plasmodium_Vir/1	PVX_096000
vir	pvx	PVX_096910	PVX_096910	PVX_096910   variable surface protein Vir23-related		OC.529957	506	1521	Plasmodium_Vir Chlorophyllase DAG1	Plasmodium_Vir/2	PVX_096910
vir	pvx	PVX_096920	PVX_096920	PVX_096920   variable surface protein Vir12-related		OC.529957	491	1476	Plasmodium_Vir	Plasmodium_Vir/1	PVX_096920
vir	pvx	PVX_096945	PVX_096945	PVX_096945   variable surface protein Vir4-related		OC.529957	314	945	Plasmodium_Vir PSP1	Plasmodium_Vir/1	PVX_096945
vir	pvx	PVX_097525	PVX_097525	PVX_097525   variable surface protein Vir 12		OC.529957	508	1527	Plasmodium_Vir	Plasmodium_Vir/1	PVX_097525
vir	pvx	PVX_097530	PVX_097530	PVX_097530   variable surface protein Vir22/12-related		OC.529957	524	1575	Plasmodium_Vir	Plasmodium_Vir/1	PVX_097530
vir	pvx	PVX_097540	PVX_097540	PVX_097540   variable surface protein Vir24-related		OC.529957	668	2007	Plasmodium_Vir Gp-FAR-1	Plasmodium_Vir/2	PVX_097540
vir	pvx	PVX_097542	PVX_097542	PVX_097542   hypothetical protein		OC.529957	560	1683	Plasmodium_Vir	Plasmodium_Vir/3	PVX_097542
vir	pvx	PVX_097555	PVX_097555	PVX_097555   variable surface protein Vir12/16-related		OC.529957	516	1551	Plasmodium_Vir DUF4134	Plasmodium_Vir/2	PVX_097555
vir	pvx	PVX_101560	PVX_101560	PVX_101560   variable surface protein Vir4-related		OC.529957	302	909	Plasmodium_Vir	Plasmodium_Vir/1	PVX_101560
vir	pvx	PVX_101565	PVX_101565	PVX_101565   variable surface protein Vir24-related		OC.529957	473	1422	Plasmodium_Vir	Plasmodium_Vir/1	PVX_101565
vir	pvx	PVX_101600	PVX_101600	PVX_101600   variable surface protein Vir16/32-related		OC.529957	372	1119	Plasmodium_Vir	Plasmodium_Vir/1	PVX_101600
vir	pvx	PVX_101615	PVX_101615	PVX_101615   variable surface protein Vir14-related		OC.529957	361	1086	Plasmodium_Vir	Plasmodium_Vir/1	PVX_101615
vir	pvx	PVX_101620	PVX_101620	PVX_101620   variable surface protein Vir16-related		OC.529957	594	1785	Plasmodium_Vir Dehydratase_hem PI3K_1B_p101	Plasmodium_Vir/2	PVX_101620
vir	pvx	PVX_102125	PVX_102125	"PVX_102125   variable surface protein Vir32, truncated"		OC.529957	153	459	Plasmodium_Vir	Plasmodium_Vir/1	PVX_102125
vir	pvx	PVX_102640	PVX_102640	PVX_102640   variable surface protein Vir12-related		OC.529957	441	1326	Plasmodium_Vir	Plasmodium_Vir/1	PVX_102640
vir	pvx	PVX_103155	PVX_103155	PVX_103155   variable surface protein Vir12-related		OC.529957	442	1329	Plasmodium_Vir	Plasmodium_Vir/1	PVX_103155
vir	pvx	PVX_103660	PVX_103660	PVX_103660   variable surface protein Vir16/32-related		OC.529957	360	1083	Plasmodium_Vir	Plasmodium_Vir/1	PVX_103660
vir	pvx	PVX_103665	PVX_103665	PVX_103665   variable surface protein Vir4/32-like		OC.529957	290	873	Plasmodium_Vir zf-TRAF	Plasmodium_Vir/2	PVX_103665
vir	pvx	PVX_104180	PVX_104180	PVX_104180   variable surface protein Vir12		OC.529957	386	1161	Plasmodium_Vir	Plasmodium_Vir/1	PVX_104180
vir	pvx	PVX_104185	PVX_104185	PVX_104185   variable surface protein Vir16-related		OC.529957	288	867	Plasmodium_Vir	Plasmodium_Vir/2	PVX_104185
vir	pvx	PVX_104190	PVX_104190	PVX_104190   variable surface protein Vir12-like		OC.529957	426	1281	Plasmodium_Vir DUF1708 Ndufs5 BPD_transp_2	Plasmodium_Vir/1	PVX_104190
vir	pvx	PVX_105700	PVX_105700	PVX_105700   variable surface protein Vir32/4		OC.529957	340	1023	Plasmodium_Vir	Plasmodium_Vir/2	PVX_105700
vir	pvx	PVX_106220	PVX_106220	PVX_106220   variable surface protein Vir12		OC.529957	481	1446	Plasmodium_Vir DUF4782	Plasmodium_Vir/1	PVX_106220
vir	pvx	PVX_106725	PVX_106725	PVX_106725   variable surface protein Vir12		OC.529957	469	1410	Plasmodium_Vir	Plasmodium_Vir/1	PVX_106725
vir	pvx	PVX_107235	PVX_107235	PVX_107235   variable surface protein Vir12-related		OC.529957	582	1749	Plasmodium_Vir PUB	Plasmodium_Vir/2	PVX_107235
vir	pvx	PVX_107735	PVX_107735	PVX_107735   hypothetical protein		OC.529957	362	1089	Plasmodium_Vir DUF2407_C DUF1049	Plasmodium_Vir/2	PVX_107735
vir	pvx	PVX_107740	PVX_107740	PVX_107740   hypothetical protein		OC.529957	304	915	Plasmodium_Vir	Plasmodium_Vir/1	PVX_107740
vir	pvx	PVX_107745	PVX_107745	PVX_107745   variable surface protein Vir 12-like		OC.529957	351	1056	Plasmodium_Vir MWFE	Plasmodium_Vir/2	PVX_107745
vir	pvx	PVX_107755	PVX_107755	PVX_107755   variable surface protein Vir12/24-related		OC.529957	657	1974	Plasmodium_Vir	Plasmodium_Vir/2	PVX_107755
vir	pvx	PVX_108770	PVX_108770	PVX_108770   variable surface protein Vir 14		OC.529957	409	1230	Plasmodium_Vir Orthopox_A36R	Plasmodium_Vir/1	PVX_108770
vir	pvx	PVX_110295	PVX_110295	PVX_110295   variable surface protein Vir22-like		OC.529957	553	1662	Plasmodium_Vir	Plasmodium_Vir/2	PVX_110295
vir	pvx	PVX_110300	PVX_110300	PVX_110300   variable surface protein Vir 12/22/24-like		OC.529957	359	1080	Plasmodium_Vir	Plasmodium_Vir/1	PVX_110300
vir	pvx	PVX_112720	PVX_112720	PVX_112720   variable surface protein Vir12-related		OC.529957	505	1518	Plasmodium_Vir DUF1436	Plasmodium_Vir/1	PVX_112720
vir	pvx	PVX_113230	PVX_113230	PVX_113230   variable surface protein Vir14-related		OC.529957	440	1323	Plasmodium_Vir FAM176 PBP1_TM	Plasmodium_Vir/1	PVX_113230
vir	pvx	PVX_115475	PVX_115475	PVX_115475   variable surface protein Vir14		OC.529957	229	690	Plasmodium_Vir Snapin_Pallidin	Plasmodium_Vir/1	PVX_115475
vir	pvx	PVX_115485	PVX_115485	PVX_115485   variable surface protein Vir24-related		OC.529957	302	909	Plasmodium_Vir	Plasmodium_Vir/2	PVX_115485
vir	pvx	PVX_115985	PVX_115985	PVX_115985   variable surface protein Vir		OC.529957	574	1725	Plasmodium_Vir	Plasmodium_Vir/1	PVX_115985
vir	pvx	PVX_119210	PVX_119210	PVX_119210   variant surface protein Vir22/5/24		OC.529957	540	1623	Plasmodium_Vir DUF2654	Plasmodium_Vir/2	PVX_119210
vir	pvx	PVX_120330	PVX_120330	PVX_120330   variable surface protein Vir14-related		OC.529957	418	1257	Plasmodium_Vir CZB	Plasmodium_Vir/1	PVX_120330
vir	pvx	PVX_120340	PVX_120340	PVX_120340   variable surface protein Vir12-related		OC.529957	452	1359	Plasmodium_Vir	Plasmodium_Vir/1	PVX_120340
vir	pvx	PVX_120845	PVX_120845	PVX_120845   variable surface protein Vir12-related		OC.529957	587	1764	Plasmodium_Vir Dehydratase_hem	Plasmodium_Vir/2	PVX_120845
vir	pvx	PVX_124700	PVX_124700	PVX_124700   hypothetical protein		OC.529957	255	768	Plasmodium_Vir	Plasmodium_Vir/1	PVX_124700
vir	pvx	PVX_124705	PVX_124705	PVX_124705   variable surface protein Vir12-related		OC.529957	449	1350	Plasmodium_Vir DeoC	Plasmodium_Vir/1	PVX_124705
vir	pvx	PVX_124710	PVX_124710	PVX_124710   variable surface protein Vir4-related		OC.529957	313	942	Plasmodium_Vir G-alpha ARL2_Bind_BART	Plasmodium_Vir/1	PVX_124710
vir	pvx	PVX_124712	PVX_124712	PVX_124712   variable surface protein Vir24-related		OC.529957	400	1203	Plasmodium_Vir	Plasmodium_Vir/2	PVX_124712
vir	pvx	PVX_124715	PVX_124715	PVX_124715   variable surface protein Vir5-related		OC.529957	528	1587	Plasmodium_Vir	Plasmodium_Vir/3	PVX_124715
vir	pvx	PVX_124720	PVX_124720	PVX_124720   variable surface protein Vir12-related		OC.529957	545	1638	Plasmodium_Vir	Plasmodium_Vir/1	PVX_124720
vir	pvx	PVX_124725	PVX_124725	PVX_124725   hypothetical protein		OC.529957	220	663	Plasmodium_Vir	Plasmodium_Vir/1	PVX_124725
vir	pvx	PVX_125726	PVX_125726	PVX_125726   hypothetical protein		OC.529957	364	1095	Plasmodium_Vir	Plasmodium_Vir/1	PVX_125726
vir	pvx	PVX_127260	PVX_127260	"PVX_127260   variable surface protein Vir16, truncated"		OC.529957	210	629	Plasmodium_Vir Glyco_transf_5	Plasmodium_Vir/1	PVX_127260
vir	pvx	PVX_133260	PVX_133260	"PVX_133260   variable surface protein Vir12, truncated"		OC.529957	268	805	Plasmodium_Vir SICA_beta	Plasmodium_Vir/1	PVX_133260
vir	pvx	PVX_157260	PVX_157260	"PVX_157260   variable surface protein Vir12, truncated"		OC.529957	315	947	Plasmodium_Vir	Plasmodium_Vir/1	PVX_157260
vir	pvx	PVX_158260	PVX_158260	"PVX_158260   variable surface protein Vir12, truncated"		OC.529957	287	862	Plasmodium_Vir MoCo_carrier SICA_beta	Plasmodium_Vir/1	PVX_158260
vir	pvx	PVX_169270	PVX_169270	PVX_169270   variable surface protein Vir14		OC.529957	346	1041	Plasmodium_Vir	Plasmodium_Vir/2	PVX_169270
vir	pvx	PVX_170270	PVX_170270	"PVX_170270   variable surface protein Vir12, truncated"		OC.529957	332	995	Plasmodium_Vir	Plasmodium_Vir/1	PVX_170270
vir	pvx	PVX_172270	PVX_172270	"PVX_172270   variable surface protein Vir22, truncated"		OC.529957	378	1137	Plasmodium_Vir	Plasmodium_Vir/1	PVX_172270
vir	pvx	PVX_175270	PVX_175270	"PVX_175270   variable surface protein Vir14, truncated"		OC.529957	332	1000	Plasmodium_Vir	Plasmodium_Vir/2	PVX_175270
vir	pvx	PVX_184285	PVX_184285	PVX_184285   variable surface protein Vir4		OC.529957	348	1047	Plasmodium_Vir	Plasmodium_Vir/2	PVX_184285
vir	pvx	PVX_241290	PVX_241290	PVX_241290   variable surface protein Vir12-like		OC.529957	771	2316	Plasmodium_Vir	Plasmodium_Vir/3	PVX_241290
vir	pvx		PVX_036690	PVX_036690   hypothetical protein		OC.529957	98	297	Plasmodium_Vir	Plasmodium_Vir/1	PVX_036690
vir	pvx		PVX_061690	PVX_061690   hypothetical protein		OC.529957	273	822	Plasmodium_Vir	Plasmodium_Vir/1	PVX_061690
vir	pvx		PVX_074190	PVX_074190   hypothetical protein		OC.529957	323	972	Plasmodium_Vir FAM104	Plasmodium_Vir/1	PVX_074190
vir	pvx		PVX_020170	PVX_020170   hypothetical protein		OC.529957	333	1002	Plasmodium_Vir	Plasmodium_Vir/1	PVX_020170
vir	pvx		PVX_049690	PVX_049690   hypothetical protein		OC.529957	366	1101	Plasmodium_Vir	Plasmodium_Vir/1	PVX_049690
vir	pvx		PVX_097545	PVX_097545   variable surface protein Vir12-related		OC.529957	451	1356	Plasmodium_Vir	Plasmodium_Vir/1	PVX_097545
vir	pvx		PVX_134260	"PVX_134260   variable surface protein Vir12, truncated"		OC.529957	104	313	Plasmodium_Vir SICA_beta MoCo_carrier	Plasmodium_Vir/1	PVX_134260
vir	pvx	PVX_149260	PVX_149260	"PVX_149260   variable surface protein Vir14, truncated"		OC.529957	270	815	Plasmodium_Vir	Plasmodium_Vir/2	PVX_149260
vir	pvx		PVX_004495	PVX_004495   hypothetical protein		OC.529957	449	1350	Plasmodium_Vir	Plasmodium_Vir/2	PVX_004495
vir	pvx		PVX_183280	PVX_183280   variable surface protein Vir12-related		OC.529957	443	1332	Plasmodium_Vir	Plasmodium_Vir/2	PVX_183280
vir	pvx	PVX_043690	PVX_043690	"PVX_043690   variable surface protein Vir32, truncated"		OC.529961	85	259	Plasmodium_Vir	Plasmodium_Vir/1	PVX_043690
vir	pvx	PVX_044190	PVX_044190	PVX_044190   variable surface protein Vir32		OC.529961	61	188	Plasmodium_Vir	Plasmodium_Vir/1	PVX_044190
vir	pvx	PVX_112630	PVX_112630	PVX_112630   variable surface protein Vir12		OC.529965	650	1953	Plasmodium_Vir	Plasmodium_Vir/1	PVX_112630
vir	pvx	PVX_129260	PVX_129260	PVX_129260   variable surface protein Vir12		OC.529965	59	180	Plasmodium_Vir PBP1_TM DUF2059	Plasmodium_Vir/1	PVX_129260
vir	pvx	PVX_130260	PVX_130260	"PVX_130260   variable surface protein Vir12, truncated"		OC.529965	108	327	Plasmodium_Vir PBP1_TM	Plasmodium_Vir/1	PVX_130260
vir	pvx		PVX_043190	"PVX_043190   variable surface protein Vir12, truncated"		OC.529965	319	960	Plasmodium_Vir	Plasmodium_Vir/1	PVX_043190
vir	pvx		PVX_131260	"PVX_131260   variable surface protein Vir12, truncated"		OC.529965	278	838			
vir	pvx	PVX_039690	PVX_039690	"PVX_039690   variable surface protein Vir27, truncated"		OC.529966	66	201	Plasmodium_Vir	Plasmodium_Vir/1	
vir	pvx	PVX_055690	PVX_055690	"PVX_055690   variable surface protein Vir27, truncated"		OC.529966	192	581	Plasmodium_Vir	Plasmodium_Vir/1	PVX_055690
vir	pvx	PVX_032690	PVX_032690	PVX_032690   variable surface protein Vir7		OC.529967	156	471	Plasmodium_Vir	Plasmodium_Vir/1	PVX_032690
vir	pvx	PVX_054690	PVX_054690	"PVX_054690   variable surface protein Vir29, truncated"		OC.529967	51	156	Plasmodium_Vir	Plasmodium_Vir/1	
vir	pvx	PVX_025690	PVX_025690	PVX_025690   variable surface protein Vir21		OC.529969	351	1056	Plasmodium_Vir	Plasmodium_Vir/2	PVX_025690
vir	pvx	PVX_033190	PVX_033190	PVX_033190   variable surface protein Vir21		OC.529969	357	1074	Plasmodium_Vir Lipoprotein_15 RolB_RolC	Plasmodium_Vir/1	PVX_033190
vir	pvx	PVX_058690	PVX_058690	"PVX_058690   variable surface protein Vir21, truncated"		OC.529969	299	901	Plasmodium_Vir	Plasmodium_Vir/2	PVX_058690
vir	pvx	PVX_062190	PVX_062190	"PVX_062190   variable surface protein Vir21, truncated"		OC.529969	326	981	Plasmodium_Vir	Plasmodium_Vir/1	PVX_062190
vir	pvx	PVX_075195	PVX_075195	PVX_075195   variable surface protein Vir26		OC.529969	302	909	Plasmodium_Vir PapB	Plasmodium_Vir/1	PVX_075195
vir	pvx	PVX_078695	PVX_078695	PVX_078695   variable surface protein Vir29-like		OC.529969	370	1113	Plasmodium_Vir	Plasmodium_Vir/1	PVX_078695
vir	pvx	PVX_086350	PVX_086350	PVX_086350   variable surface protein Vir21		OC.529969	397	1194	Plasmodium_Vir	Plasmodium_Vir/1	PVX_086350
vir	pvx	PVX_096915	PVX_096915	PVX_096915   variable surface protein Vir21-related		OC.529969	295	888	Plasmodium_Vir	Plasmodium_Vir/1	PVX_096915
vir	pvx	PVX_096940	PVX_096940	PVX_096940   variable surface protein Vir24-related		OC.529969	292	879	Plasmodium_Vir	Plasmodium_Vir/1	PVX_096940
vir	pvx	PVX_103680	PVX_103680	PVX_103680   variable surface protein Vir21		OC.529969	361	1086	Plasmodium_Vir	Plasmodium_Vir/2	PVX_103680
vir	pvx	PVX_108775	PVX_108775	"PVX_108775   variable surface protein Vir26, truncated"		OC.529969	62	190	Plasmodium_Vir	Plasmodium_Vir/1	PVX_108775
vir	pvx	PVX_110305	PVX_110305	PVX_110305   variable surface protein Vir21		OC.529969	267	804	Plasmodium_Vir phiKZ_IP	Plasmodium_Vir/1	PVX_110305
vir	pvx	PVX_115480	PVX_115480	PVX_115480   variable surface protein Vir21		OC.529969	276	831	Plasmodium_Vir	Plasmodium_Vir/1	PVX_115480
vir	pvx		PVX_180275	"PVX_180275   variable surface protein Vir26-like, truncated"		OC.529969	236	711	Plasmodium_Vir CTD_bind	Plasmodium_Vir/1	PVX_180275
vir	pvx		PVX_164265	PVX_164265   variable surface protein Vir21		OC.529969	362	1089	Plasmodium_Vir Tfb5	Plasmodium_Vir/2	PVX_164265
vir	pvx		PVX_059690	PVX_059690   variable surface protein Vir26		OC.529969	88	266			
vir	pvx	PVX_120840	PVX_120840	PVX_120840   variable surface protein Vir8-related		OC.529972	324	975	DUF4043		PVX_120840
vir	pvx	PVX_176270	PVX_176270	PVX_176270   variable surface protein Vir8		OC.529972	339	1020	Plasmodium_Vir	Plasmodium_Vir/1	PVX_176270
vir	pvx	PVX_096985	PVX_096985	PVX_096985   variable surface protein Vir		OC.529974	387	1164	Plasmodium_Vir	Plasmodium_Vir/1	PVX_096985
vir	pvx		PVX_096980	PVX_096980   variable surface protein Vir		OC.529974	396	1191	Plasmodium_Vir	Plasmodium_Vir/1	
vir	pvx		PVX_096970	PVX_096970   variable surface protein Vir8-related		OC.529974	491	1476	Plasmodium_Vir	Plasmodium_Vir/1	
vir	pvx		PVX_086890	PVX_086890   variable surface protein Vir8-like		OC.529974	271	816			PVX_086890
vir	pvx		PVX_096965	PVX_096965   hypothetical protein		OC.529974	285	858	Plasmodium_Vir DUF3452		PVX_096965
vir	pvx		PVX_096975	PVX_096975   hypothetical protein		OC.529974	556	1671			
vir	pvx	PVX_018155	PVX_018155	PVX_018155   variable surface protein Vir17		OC.529975	393	1182			
vir	pvx	PVX_019160	PVX_019160	PVX_019160   variable surface protein Vir17		OC.529975	394	1185	Plasmodium_Vir	Plasmodium_Vir/1	PVX_019160
vir	pvx	PVX_106730	PVX_106730	PVX_106730   hypothetical protein		OC.529975	354	1065			PVX_106730
vir	pvx	PVX_119215	PVX_119215	PVX_119215   PV1H14010_P		OC.529975	250	753	Plasmodium_Vir DUF4817 TraS	Plasmodium_Vir/1	PVX_119215
vir	pvx	PVX_121350	PVX_121350	PVX_121350   hypothetical protein		OC.529975	339	1020	Plasmodium_Vir	Plasmodium_Vir/1	
vir	pvx	PVX_141260	PVX_141260	PVX_141260   variable surface protein Vir17		OC.529975	385	1158	Plasmodium_Vir Pilin_PilA	Plasmodium_Vir/1	PVX_141260
vir	pvx		PVX_011610	PVX_011610   variable surface protein Vir17		OC.529975	362	1089	Plasmodium_Vir	Plasmodium_Vir/1	PVX_011610
vir	pvx		PVX_015135	"PVX_015135   variable surface protein Vir17, truncated"		OC.529975	383	1152	Plasmodium_Vir Terminase_GpA	Plasmodium_Vir/1	PVX_015135
vir	pvx		PVX_112100	PVX_112100   hypothetical protein		OC.529975	401	1206	Plasmodium_Vir	Plasmodium_Vir/2	PVX_112100
vir	pvx		PVX_003500	PVX_003500   hypothetical protein		OC.529975	296	891	SrfB 4HB_MCP_1 EF1G		
vir	pvx		PVX_112645	PVX_112645   variable surface protein Vir17-like		OC.529975	321	966	Spectrin		PVX_112645
vir	pvx		PVX_113220	PVX_113220   hypothetical protein		OC.529975	287	864	KIP1 FANCF		
vir	pvx		PVX_153260	"PVX_153260   variable surface protein Vir17, truncated"		OC.529975	67	205			
vir	pvx		PVX_160260	"PVX_160260   variable surface protein Vir3, truncated"		OC.529975	166	499			PVX_160260
vir	pvx		PVX_161260	"PVX_161260   variable surface protein Vir3, truncated"		OC.529975	209	628			
vir	pvx	PVX_049190	PVX_049190	PVX_049190   Pv-fam-c protein		OC.529976	337	1014	Plasmodium_Vir Remorin_C	Plasmodium_Vir/1	
vir	pvx	PVX_105200	PVX_105200	PVX_105200   Pv-fam-c protein		OC.529976	339	1020			PVX_105200
vir	pvx	PVX_112120	PVX_112120	PVX_112120   Pv-fam-c protein		OC.529976	308	927	G-gamma IL34		
vir	pvx	PVX_112715	PVX_112715	PVX_112715   Pv-fam-c protein		OC.529976	342	1029	PcfK		
vir	pvx		PVX_020175	PVX_020175   Pv-fam-c protein		OC.529976	358	1077	Plasmodium_Vir DUF367	Plasmodium_Vir/1	PVX_020175
vir	pvx		PVX_104690	PVX_104690   Pv-fam-c protein		OC.529976	327	984			PVX_104690
vir	pvx		PVX_108260	PVX_108260   Pv-fam-c protein		OC.529976	350	1053	ArsC		
vir	pvx	PVX_093725	PVX_093725	PVX_093725   variable surface protein Vir24-related		OC.529977	392	1179	Plasmodium_Vir	Plasmodium_Vir/1	PVX_093725
vir	pvx		PVX_036190	PVX_036190   variable surface protein Vir34		OC.529979	157	474	Plasmodium_Vir		
vir	pvx		PVX_109790	PVX_109790   variable surface protein Vir34		OC.529979	271	816	Plasmodium_Vir		
vir	pvx		PVX_119205	PVX_119205   hypothetical protein		OC.529979	162	489			
vir	pvx		PVX_065190	"PVX_065190   variable surface protein Vir18, truncated"		OC.530095	442	1331	Plasmodium_Vir	Plasmodium_Vir/1	
vir	pvx		PVX_060690	PVX_060690   variable surface protein Vir18-related		OC.530095	656	1971	Plasmodium_Vir DUF2096	Plasmodium_Vir/1	
vir	pvx		PVX_006080	PVX_006080   variable surface protein Vir18-related		OC.530095	577	1734	Folliculin		
vir	pvx		PVX_010100	PVX_010100   variable surface protein Vir18		OC.530095	478	1437			
vir	pvx		PVX_011110	PVX_011110   variable surface protein Vir18-like		OC.530095	475	1428	DUF4083	
vir	pvx		PVX_013120	PVX_013120   variable surface protein Vir18		OC.530095	475	1428		
vir	pvx		PVX_013625	PVX_013625   variable surface protein Vir18		OC.530095	381	1143	DUF19	
vir	pvx		PVX_015130	PVX_015130   variable surface protein Vir18-like		OC.530095	459	1376		
vir	pvx		PVX_015640	PVX_015640   variable surface protein Vir18-related		OC.530095	427	1284		
vir	pvx		PVX_016640	PVX_016640   variable surface protein Vir18-like		OC.530095	483	1452		
vir	pvx		PVX_017145	PVX_017145   variable surface protein Vir18		OC.530095	478	1437	UPAR_LY6_2	
vir	pvx		PVX_017650	PVX_017650   variable surface protein Vir18		OC.530095	502	1509		
vir	pvx		PVX_018150	PVX_018150   variable surface protein Vir18		OC.530095	510	1533	Glu_cys_ligase	
vir	pvx		PVX_019165	PVX_019165   variable surface protein Vir18		OC.530095	503	1512		
vir	pvx		PVX_020675	PVX_020675   variable surface protein Vir18		OC.530095	495	1488	Prefoldin	
vir	pvx		PVX_021180	PVX_021180   variable surface protein Vir18		OC.530095	467	1404	DnaB	
vir	pvx		PVX_035690	PVX_035690   hypothetical protein		OC.530095	298	897	DUF3975	
vir	pvx		PVX_045190	PVX_045190   variable surface protein Vir18-related		OC.530095	130	390	DUF3786	
vir	pvx		PVX_055190	"PVX_055190   variable surface protein Vir18, truncated"		OC.530095	378	1137		
vir	pvx		PVX_062690	PVX_062690   variable surface protein Vir18		OC.530095	462	1389		
vir	pvx		PVX_066190	PVX_066190   variable surface protein Vir18-like		OC.530095	463	1392			
vir	pvx		PVX_068190	PVX_068190   variable surface protein Vir18		OC.530095	511	1536	HycA_repressor DnaB		
vir	pvx		PVX_068690	PVX_068690   variable surface protein Vir18		OC.530095	529	1590			
vir	pvx		PVX_083585	PVX_083585   variale surface protein Vir18-related		OC.530095	548	1647			
vir	pvx		PVX_093705	PVX_093705   variable surface protein Vir18		OC.530095	318	957	DUF4271		
vir	pvx		PVX_101625	PVX_101625   variable surface protein Vir18-like		OC.530095	527	1584			
vir	pvx		PVX_103150	PVX_103150   variable surface protein Vir18		OC.530095	488	1467			
vir	pvx		PVX_104700	PVX_104700   variable surface protein Vir18		OC.530095	475	1428	SR1P		
vir	pvx		PVX_106215	PVX_106215   hypothetical protein		OC.530095	328	987			
vir	pvx		PVX_107230	PVX_107230   hypothetical protein		OC.530095	416	1251	CtIP_N RE_MjaI VWC		
vir	pvx		PVX_112125	PVX_112125   variable surface protein Vir18		OC.530095	423	1272			
vir	pvx		PVX_120335	PVX_120335   variable surface protein Vir18-related		OC.530095	485	1458	Plasmodium_Vir DUF603		
vir	pvx		PVX_121855	PVX_121855   variable surface protein Vir18		OC.530095	402	1209			
vir	pvx		PVX_241295	PVX_241295   variable surface protein Vir18		OC.530095	489	1470			
vir	pvx		PVX_148260	"PVX_148260   variable surface protein Vir25, truncated"		OC.739344	154	465	Plasmodium_Vir Cir_Bir_Yir NAM-associated	Plasmodium_Vir/1 Cir_Bir_Yir/1	PVX_148260
vir	pvx	PVX_108765	PVX_108765	PVX_108765   hypothetical protein		OC.739965	110	333	Plasmodium_Vir	Plasmodium_Vir/1	PVX_108765
vir	pvx		PVX_102645	PVX_102645   hypothetical protein		OC.740090	92	279	Plasmodium_Vir Dynactin_p22	Plasmodium_Vir/1	PVX_102645
		PVX_005050									
		PVX_046190									
		PVX_052190									
		PVX_066690									
		PVX_103675									
		PVX_154260									
		PVX_159260									
		PVX_163265									
		PVX_168265									
		PVX_179275									
		PVX_248300									


			色づけ	diez と varDB に含まれないもの							
