à‚ì`éqfamily	ê∂ï®éÌ	diez_rs	à‚ì`éq_ids	à‚ì`éq	KO	OC	AA_length	NT_length	motif	E-Value < = 10e-3	verDB	AB-type
rifin	pfa	PFB0035c	PFB0035c	PFB0035c   rifin	K13851	OC.530158	375	1128	Rifin_STEVOR DUF443 DUF912 DUF1180 DUF2207 Adeno_E3_CR2 TMEM154 DUF3671 PalH PspB Glycophorin_A YajC DUP Sigma_reg_N Baculo_11_kDa	Rifin_STEVOR/1 DUF912/1		
rifin	pfa	PFB0040c	PFB0040c	PFB0040c   rifin	K13851	OC.530158	330	993	Rifin_STEVOR TMEM154 DUF912 Glycophorin_A Adeno_E3_CR2 DUF2207 DUF1191 Cadherin_C_2 IncA PspB DUF3377 DAG1 Antimicrobial_7 Amnionless DUF2755 DUF4199 ASFV_J13L Baculo_11_kDa Protocadherin	Rifin_STEVOR/1		A-B3*
rifin	pfa	PFB0055c	PFB0055c	PFB0055c   rifin	K13851	OC.530158	312	939	Rifin_STEVOR PalH TMEM154 DUF912 PspB DUF2207 Glycophorin_A LRRC37AB_C DUF1191 MCU DUF4199 DUF3377 CcmD Baculo_11_kDa Adeno_E3_CR2 P12 FAM176	Rifin_STEVOR/1 PalH/1		
rifin	pfa	PFB0060w	PFB0060w	PFB0060w   rifin	K13851	OC.530158	356	1071	Rifin_STEVOR DUF912 Glycophorin_A ECSCR BatD TMEM154 PspB DUF2207 DUF4381 Fig1 MSC Peptidase_M56 DUF1191 DUF1180 Viral_Beta_CD Baculo_11_kDa DUF3377	Rifin_STEVOR/1 DUF912/1 Glycophorin_A/1		A
rifin	pfa	PFB1005w	PFB1005w	PFB1005w   rifin	K13851	OC.530158	316	951	Rifin_STEVOR TMEM154 DUF2207 DUF3377 DUF912 PspB DUF443 DUF1180 DUF4381 DUF1191 BatD DUF2062 ECSCR Glycophorin_A Sigma_reg_N	Rifin_STEVOR/1 TMEM154/1 		B3
rifin	pfa	PFB1010w	PFB1010w	PFB1010w   rifin	K13851	OC.530158	368	1107	Rifin_STEVOR DUF912 DUF3377 PspB Baculo_11_kDa DUF2207 TMEM154 DUF1180 DUF4083 YajC AbLIM_anchor	Rifin_STEVOR/1		A
rifin	pfa	PFB1015w	PFB1015w	PFB1015w   rifin	K13851	OC.530158	348	1047	Rifin_STEVOR DUF2207 DUF912 TMEM154 TMEM156 DUF1191 DUF3377 DUF443 DUF1180 Adeno_E3_CR2 DUF2663 Baculo_11_kDa PspB DUF2721 DUF4381 Glycophorin_A DAG1 YajC EphA2_TM Syndecan Sigma_reg_N	Rifin_STEVOR/1 DUF912/1		B1
rifin	pfa	PFB1035w	PFB1035w	PFB1035w   rifin	K13851	OC.530158	330	993	Rifin_STEVOR DUF912 DUF3377 DUF2207 TMEM154 DUF1180 Endomucin ASFV_J13L TRP Amnionless DUF1191 PspB Protocadherin IncA CHASE3 Baculo_E56 Baculo_11_kDa Pec_lyase_N	Rifin_STEVOR/1		
rifin	pfa	PFB1040w	PFB1040w	PFB1040w   rifin	K13851	OC.530158	345	1038	Rifin_STEVOR DUF2207 DUF912 TMEM154 DUF1191 DUF443 DUF4366 Glycophorin_A Cadherin_C_2 PspB DUF1180 Baculo_11_kDa DUF3377 Syndecan	Rifin_STEVOR/1		B1
rifin	pfa	PFB1050w	PFB1050w	PFB1050w   rifin	K13851	OC.530158	327	984	Rifin_STEVOR DUF912 DUF2207 TMEM154 PspB DUF1191 Adeno_E3_CR2 DUF1180 YajC COX2_TM Amnionless Baculo_11_kDa	Rifin_STEVOR/1 DUF2207/1 DUF912/1		A
rifin	pfa	PFC0010c	PFC0010c	PFC0010c   RIF; rifin	K13851	OC.530158	326	981	Rifin_STEVOR DUF912 AAA_11 DUF1917 DUF2207 Adeno_E3_CR2 YajC DUF1191 PalH EphA2_TM TMEM154	Rifin_STEVOR/1		
rifin	pfa	PFC0030c	PFC0030c	PFC0030c   RIF; rifin		OC.530158	359	1080	Rifin_STEVOR DUF2207 TMEM154 DUF912 DUF4381 DUF1191 BatD TMEM156 DUF2639 PspB DUF1180 DUF3810 DUF3498 RdgC Baculo_11_kDa Glycophorin_A	Rifin_STEVOR/1 TMEM154/1 DUF2207/1		B2
rifin	pfa	PFC0035w	PFC0035w	PFC0035w   RIF; rifin		OC.530158	374	1125	Rifin_STEVOR DUF912 Adeno_E3_CR2 PalH DUF443 DUF2207 Glucos_trans_II TMEM154 DUF1180 DUF3377 PspB YajC Baculo_11_kDa	Rifin_STEVOR/1 DUF912/1		
rifin	pfa	PFC0040w	PFC0040w	PFC0040w   RIF; rifin		OC.530158	321	966	Rifin_STEVOR Glycoprotein_B DUF2207 Apolipoprotein PspB DUF202 PMT_4TMC	Rifin_STEVOR/1 Glycoprotein_B/1		A
rifin	pfa		PFC1095w	PFC1095w   rifin; rifin (3D7-rifT3-5)		OC.530158	349	1050	Rifin_STEVOR TMEM154 DUF3377 DUF912 DUF4064 Adeno_E3_CR2 DUF2207 DUF1191 Herpes_gE PspB ASFV_J13L Baculo_11_kDa DUF2755 Presenilin m04gp34like DUF4381 DUF1180 IncA YajC zinc_ribbon_2 7TM_GPCR_Srd Glycophorin_A Syndecan Protocadherin	Rifin_STEVOR/1 TMEM154/1 DUF3377/1		A
rifin	pfa	PFC1100w	PFC1100w	PFC1100w   RIF; rifin		OC.530158	317	954	Rifin_STEVOR DUF2207 PspB TctA DUF912 DUF443 UXS1_N DUF1180 TRP TMEM154 Adeno_E3_CR2 Syndecan ECSCR Cadherin_C_2 DUF3573 DUF3377	Rifin_STEVOR/1		B3
rifin	pfa	PFC1115w	PFC1115w	PFC1115w   rifin; rifin (3D7-rifT3-7)		OC.530158	371	1116	Rifin_STEVOR TMEM154 DUF912 PspB DUF2207 DUF3377 DUF1180 Glycophorin_A YajC Adeno_E3_CR2 DUF4381 Protocadherin	Rifin_STEVOR/1 TMEM154/1		A
rifin	pfa	PFD0015c	PFD0015c	PFD0015c   RIF; rifin	K13851	OC.530158	370	1113	Rifin_STEVOR DUF912 PalH DUF2207 TMEM154 PspB DUF1180 AbLIM_anchor DUF3377 Adeno_E3_CR2 Glycophorin_A PBP_like YajC DUF3810	Rifin_STEVOR/1		A
rifin	pfa	PFD0025w	PFD0025w	PFD0025w   RIF; rifin	K13851	OC.530158	382	1149	Rifin_STEVOR DUF912 DUF2207 PspB Adeno_E3_CR2 DUF3377 Peptidase_M75 Glycophorin_A DUF443 DUF1180 DUF2639 Baculo_11_kDa TMEM154	Rifin_STEVOR/1		A
rifin	pfa	PFD0030c	PFD0030c	PFD0030c   RIF; rifin	K13851	OC.530158	380	1143	Rifin_STEVOR PspB DUF912 DUF443 PalH TMEM154 DUF3671 Amnionless Adeno_E3_CR2 DUF1180 MMPL Glycophorin_A DUF2207 YajC	Rifin_STEVOR/1		A
rifin	pfa	PFD0040c	PFD0040c	PFD0040c   RIF; rifin	K13851	OC.530158	329	990	Rifin_STEVOR DUF912 PspB DUF1700 DUF1180 TMEM154 MotA_ExbB Adeno_E3_CR2 DUF4381 DUF3810 Cadherin_C_2 YajC zinc_ribbon_2 IncA Baculo_11_kDa ASFV_J13L	Rifin_STEVOR/1		
rifin	pfa	PFD0045c	PFD0045c	PFD0045c   RIF; rifin	K13851	OC.530158	309	930	Rifin_STEVOR DUF912 SecD_SecF PspB DUF2207 DUF443 DUF2681 DUF1180 Glycophorin_A Syndecan TMEM154 COX2_TM	Rifin_STEVOR/1		B-A*
rifin	pfa	PFD0050w	PFD0050w	"PFD0050w   RIF, PfSEP4; rifin"		OC.530158	367	1104	Rifin_STEVOR DUF912 Adeno_E3_CR2 Baculo_11_kDa DUF2207 TMEM154 DUF3377 PspB DUF1180 Amnionless Protocadherin Glycophorin_A YajC EphA2_TM	Rifin_STEVOR/1		A
rifin	pfa	PFD0055w	PFD0055w	PFD0055w   RIF; rifin	K13851	OC.530158	375	1128	Rifin_STEVOR DUF912 DUF443 PalH PspB DUF2207 DUF3377 TMEM154 DUF1180 Adeno_E3_CR2 DUF4083 Herpes_gE YajC DUF4381 Baculo_11_kDa Sigma_reg_N	Rifin_STEVOR/1		A
rifin	pfa	PFD0060w	PFD0060w	PFD0060w   RIF; rifin	K13851	OC.530158	329	990	Rifin_STEVOR SecD_SecF DUF912 DUF1180 PspB AbLIM_anchor Adeno_E3_CR2 Syndecan	Rifin_STEVOR/1		A
rifin	pfa	PFD0070c	PFD0070c	PFD0070c   RIF; rifin	K13851	OC.530158	347	1044	Rifin_STEVOR	Rifin_STEVOR/1		
rifin	pfa	PFD0135c	PFD0135c	"PFD0135c   RIF, truncated"		OC.530158	153	462	Rifin_STEVOR zf-DNA_Pol Apolipoprotein Tho2	Rifin_STEVOR/1		
rifin	pfa	PFD0640c	PFD0640c	PFD0640c   RIF; rifin	K13851	OC.530158	376	1131	Rifin_STEVOR TMEM154 DUF912 DUF1180 DUF2207 PalH PspB YajC	Rifin_STEVOR/1 DUF912/1		A
rifin	pfa	PFD0645w	PFD0645w	PFD0645w   RIF; rifin	K13851	OC.530158	346	1041	Rifin_STEVOR DUF912 TMEM154 DUF3377 DUF2207 SecD_SecF DUF1180 PspB DAG1 DUF1191 Adeno_E3_CR2 Glycophorin_A Protocadherin Baculo_11_kDa Cadherin_C_2 Syndecan IncA	Rifin_STEVOR/1 TMEM154/1 DUF912/1		A
rifin	pfa	PFD1010w	PFD1010w	PFD1010w   RIF; rifin	K13851	OC.530158	346	1041	Rifin_STEVOR DUF912 DUF2721 DUF1180 Adeno_E3_CR2 DUF3377 DUF2207 DUF4199 PRP1_N EphA2_TM	Rifin_STEVOR/1		B1
rifin	pfa	PFD1020c	PFD1020c	PFD1020c   RIF; rifin	K13851	OC.530158	261	786	Rifin_STEVOR Exo70 AbLIM_anchor	Rifin_STEVOR/1		
rifin	pfa	PFD1230c	PFD1230c	PFD1230c   RIF; rifin	K13851	OC.530158	324	975	Rifin_STEVOR SecD_SecF DUF912 DUF2207 Glycophorin_A PspB CotJB	Rifin_STEVOR/1		A
rifin	pfa	PFD1240w	PFD1240w	PFD1240w   RIF; rifin	K13851	OC.530158	324	975	Rifin_STEVOR DUF2207 PspB DUF912 Baculo_11_kDa DUF1180 Adeno_E3_CR2 Sigma_reg_N TMEM154 YajC DUF4381 DUF3377	Rifin_STEVOR/1		A
rifin	pfa	PFE0020c	PFE0020c	PFE0020c   RIF; rifin	K13851	OC.530158	374	1125	Rifin_STEVOR DUF912 Baculo_11_kDa TMEM154 Glycophorin_A DUF2207 PspB DUF3377 DUF1191 DUF2755 Protocadherin Cadherin_C_2 DUF1180 DUF4381 EphA2_TM	Rifin_STEVOR/1 DUF912/1		A
rifin	pfa	PFE0025c	PFE0025c	PFE0025c   RIF; rifin	K13851	OC.530158	313	942	Rifin_STEVOR DUF2207 Glycophorin_A DUF912 TMEM154 SecD_SecF DUF1180 DUF443 PspB Baculo_11_kDa TMEM156 RseC_MucC Lamp DUF3498 Syndecan TMEM51 YajC ECSCR Adeno_E3_CR2	Rifin_STEVOR/1 DUF2207/1		
rifin	pfa	PFE1630w	PFE1630w	PFE1630w   RIF; rifin	K13851	OC.530158	318	957	Rifin_STEVOR DUF2207 TMEM154 Baculo_11_kDa DUF4381 DUF912 Glycophorin_A ASFV_J13L DUF1191 DUF3377 ECSCR PspB DUF1180 LRRC37AB_C Protocadherin MSC DUF4083	Rifin_STEVOR/1 LMBR1/1 TMEM154/1		B3
rifin	pfa	PFF0015c	PFF0015c	PFF0015c   RIF; rifin	K13851	OC.530158	371	1116	Rifin_STEVOR DUF912 TMEM154 DUF2207 DUF1180 Claudin_3 PspB DUF4366 BatD Glycophorin_A Herpes_glycop DUF3377 Amnionless DUF1191 DUF4083 YajC DUF2370	Rifin_STEVOR/1 DUF1180/1 DUF912/1 TMEM154/1		A
rifin	pfa	PFF0025w	PFF0025w	PFF0025w   RIF; rifin	K13851	OC.530158	372	1119	Rifin_STEVOR DUF2207 DUF3377 DUF912 Choline_transpo TMEM154 DUF1191 TMEM156 Peptidase_M56 Baculo_11_kDa Amnionless Adeno_E3_CR2 Glycophorin_A DUF1180	Rifin_STEVOR/1		A
rifin	pfa	PFF0035c	PFF0035c	PFF0035c   RIF; rifin	K13851	OC.530158	349	1050	Rifin_STEVOR DUF912 DUF3377 PspB TMEM154 Baculo_11_kDa AbLIM_anchor DUF1180 Sigma_reg_N ASFV_J13L Glycophorin_A	Rifin_STEVOR/1		A
rifin	pfa	PFF0855c	PFF0855c	PFF0855c   RIF; rifin	K13851	OC.530158	331	996	Rifin_STEVOR GPDPase_memb DUF912 AbLIM_anchor His_Phos_2 SecD_SecF SIR2 PspB	Rifin_STEVOR/1		A
rifin	pfa	PFF1545w	PFF1545w	PFF1545w   RIF; rifin	K13851	OC.530158	360	1083	Rifin_STEVOR TMEM154 DUF3377 DUF912 Tmemb_9 DUF1180 DUF2207 PspB DUF443 Adeno_E3_CR2 EphA2_TM Glycophorin_A DUF1191 Pex24p Syndecan Sigma_reg_N	Rifin_STEVOR/1 TMEM154/1		
rifin	pfa	PFF1555w	PFF1555w	PFF1555w   RIF; rifin	K13851	OC.530158	370	1113	Rifin_STEVOR TMEM154 DUF912 DUF3377 TRP DUF2207 DUF1180 DUF1191 DUF4199 Amnionless YkuI_C Glycophorin_A Cadherin_C_2 YajC Baculo_11_kDa Adeno_E3_CR2 PspB	Rifin_STEVOR/1 TMEM154/1 DUF912/1		A
rifin	pfa	PFF1560c	PFF1560c	PFF1560c   RIF; rifin	K13851	OC.530158	323	972	Rifin_STEVOR Glycoprotein_B DUF2207 PspB Apolipoprotein DUF202 DUF912 PMT_4TMC	Rifin_STEVOR/1 Glycoprotein_B/1		A
rifin	pfa	PFF1565c	PFF1565c	PFF1565c   RIF; rifin	K13851	OC.530158	377	1134	Rifin_STEVOR DUF2207 DUF3377 DUF912 DUF1180 PspB Baculo_11_kDa TMEM154 IncA Adeno_E3_CR2 Glycophorin_A YajC Protocadherin Syndecan	Rifin_STEVOR/1		A
rifin	pfa	PFF1570w	PFF1570w	PFF1570w   RIF; rifin	K13851	OC.530158	359	1080	Rifin_STEVOR DUF2207 Na_sulph_symp TMEM154 DUF1191 DUF4381 DUF912 DUF4083 GNAT_acetyltran DUF4064 Ni_hydr_CYTB DUF3021 7TM_GPCR_Srv DUF1180 Baculo_11_kDa Zip Glycophorin_A	Rifin_STEVOR/1 Na_sulph_symp/1 DUF2207/1		B2
rifin	pfa	PFF1575w	PFF1575w	PFF1575w   RIF; rifin	K13851	OC.530158	377	1134	Rifin_STEVOR DUF2207 TMEM154 DUF912 DUF3377 PspB DUF1180 DUF1191 Sigma_reg_N YajC DUF4083 Glycophorin_A Adeno_E3_CR2 Baculo_11_kDa	Rifin_STEVOR/1		A
rifin	pfa	PFF1590w	PFF1590w	PFF1590w   RIF; rifin	K13851	OC.530158	376	1131	Rifin_STEVOR TMEM154 DUF912 DUF1180 DUF1917 PspB DUF3377 Baculo_11_kDa DUF2207 DUF1191 Glycophorin_A YajC Adeno_E3_CR2	Rifin_STEVOR/1 TMEM154/1 DUF912/1		A
rifin	pfa	PFI0010c	PFI0010c	PFI0010c   RIF; rifin	K13851	OC.530158	376	1131	Rifin_STEVOR DUF2207 DUF912 TMEM154 DUF3377 TMEM156 Glycophorin_A Baculo_11_kDa Cadherin_C_2 Adeno_E3_CR2 Protocadherin	Rifin_STEVOR/1		A
rifin	pfa	PFI0015c	PFI0015c	PFI0015c   RIF; rifin	K13851	OC.530158	359	1080	Rifin_STEVOR DUF2207 Baculo_11_kDa DUF912 MCU DUF2755 TMEM154 PCEMA1 Adeno_E3_CR2 DUF1180 DUF3377 DUF443 PspB EphA2_TM RseC_MucC Peptidase_M56	Rifin_STEVOR/1 Baculo_11_kDa/1 		B2
rifin	pfa	PFI0020w	PFI0020w	PFI0020w   RIF; rifin	K13851	OC.530158	343	1032	Rifin_STEVOR DUF2207 DUF912 DUF1180 ASFV_J13L TctA PspB IncA Baculo_E56 DUF1191 Adeno_E3_CR2 DUF3377 TMEM154 AAT YajC DUF3810	Rifin_STEVOR/1		A
rifin	pfa	PFI0025c	PFI0025c	PFI0025c   RIF; rifin	K13851	OC.530158	338	1017	Rifin_STEVOR DUF912 DUF2721 DUF4199 PspB DUF1180 DUF2207 TMEM154 DUF443 TMEM156 EphA2_TM Baculo_11_kDa Tmemb_9	Rifin_STEVOR/1		
rifin	pfa	PFI0030c	PFI0030c	PFI0030c   RIF; rifin	K13851	OC.530158	367	1104	Rifin_STEVOR DUF2207 TMEM154 DUF912 BatD DUF4381 zinc_ribbon_2 Synaptobrevin PspB DUF1191 DUF3810 TraG_N	Rifin_STEVOR/1		A
rifin	pfa	PFI0035c	PFI0035c	PFI0035c   RIF; rifin	K13851	OC.530158	381	1146	Rifin_STEVOR TMEM154 Baculo_11_kDa DUF912 PspB DUF2207 DUF3377 DUF1180 DUF2755 ABC2_membrane_3 DUF1191 Adeno_E3_CR2 DAG1 Amnionless Cadherin_C_2	Rifin_STEVOR/1		A
rifin	pfa	PFI0050c	PFI0050c	PFI0050c   RIF; rifin	K13851	OC.530158	309	930	Rifin_STEVOR DUF2207 DUF912 SecD_SecF PspB Glycophorin_A DUF1180 TMEM154 7TM_GPCR_Srd Baculo_11_kDa ECSCR Syndecan RseC_MucC DUF443 DUF4064 TMEM51	Rifin_STEVOR/1 DUF2207/1		B-A*
rifin	pfa	PFI0055c	PFI0055c	PFI0055c   RIF; rifin	K13851	OC.530158	350	1053	Rifin_STEVOR DUF912	Rifin_STEVOR/1		B3
rifin	pfa	PFI0065w	PFI0065w	PFI0065w   RIF; rifin	K13851	OC.530158	378	1137	Rifin_STEVOR PalH DUF912 DUF443 Baculo_11_kDa TMEM154 DUF2207 PspB MGC-24 DUF1180 AAT Amnionless DUF3377 Adeno_E3_CR2 Glycophorin_A YajC Endomucin	Rifin_STEVOR/1 PalH/1		A
rifin	pfa	PFI0070w	PFI0070w	PFI0070w   RIF; rifin	K13851	OC.530158	350	1053	Rifin_STEVOR TMEM154 DUF1180 PspB DUF912 DUF3377 AbLIM_anchor DUF2207 Adeno_E3_CR2 DUF1191 YajC DUF4381 Syndecan EphA2_TM Baculo_11_kDa	Rifin_STEVOR/1		A
rifin	pfa	PFI0075w	PFI0075w	PFI0075w   RIF; rifin	K13851	OC.530158	365	1098	Rifin_STEVOR TMEM154 PspB Protocadherin DUF2207 DUF912	Rifin_STEVOR/1		A
rifin	pfa	PFI1805w	PFI1805w	PFI1805w   RIF; rifin	K13851	OC.530158	371	1116	Rifin_STEVOR TMEM154 DUF912 Adeno_E3_CR2 7TM_GPCR_Srsx CopD ASFV_J13L PspB ECSCR IncA Ninjurin OAD_gamma TRP Cadherin_C_2 DUF1180 Syndecan DUF2207 Sigma_reg_N EphA2_TM DUF3810	Rifin_STEVOR/1		
rifin	pfa	PFI1810w	PFI1810w	PFI1810w   RIF; rifin	K13851	OC.530158	359	1080	Rifin_STEVOR DUF2207 DUF4381 DUF1191 TMEM154 DUF912 DUF4083 Ni_hydr_CYTB DUF3021 DUF1180	Rifin_STEVOR/1		B2
rifin	pfa	PFI1815c	PFI1815c	PFI1815c   RIF; rifin	K13851	OC.530158	369	1110	Rifin_STEVOR DUF3377 DUF2207 DUF912 TMEM154 Baculo_11_kDa Protocadherin DUF4366 Glycophorin_A AbLIM_anchor Retrotrans_gag Adeno_E3_CR2	Rifin_STEVOR/1		A
rifin	pfa	PFI1825w	PFI1825w	PFI1825w   RIF; rifin	K13851	OC.530158	367	1104	Rifin_STEVOR TMEM154 DUF912 DUF3377 DUF2207 PspB TRP DUF1499 DUF4199 DUF1191 DUF2937 DUF1180 Baculo_11_kDa DUF4381 LAX	Rifin_STEVOR/1 TMEM154/1 DUF912/1		A
rifin	pfa	PFL0010c	PFL0010c	PFL0010c   RIF; rifin	K13851	OC.530158	378	1137	Rifin_STEVOR TMEM154 DUF912 Cadherin_C_2 PspB PalH LRRC37AB_C SieB DUF4381 YajC Baculo_11_kDa Glycophorin_A DUF1180 DUF3377	Rifin_STEVOR/1 TMEM154/1 DUF912/1		A
rifin	pfa	PFL0015c	PFL0015c	PFL0015c   RIF; rifin	K13851	OC.530158	345	1038	Rifin_STEVOR DUF2207 DUF912 DUF1191 TMEM154 DUF443 IncA PspB Cadherin_C_2 DUF3377 Syndecan Baculo_11_kDa PRP1_N DUF1510 DUF2663	Rifin_STEVOR/1 DUF912/1		B1
rifin	pfa	PFL0025c	PFL0025c	PFL0025c   RIF; rifin	K13851	OC.530158	369	1110	Rifin_STEVOR DUF912 DUF1180 DUF443 TMEM154 PalH PspB DUF3377 Glycophorin_A Adeno_E3_CR2 DUF2207 Phage_holin_2_4 PknG_rubred	Rifin_STEVOR/1 DUF912/1		A
rifin	pfa	PFL2585c	PFL2585c	PFL2585c   RIF; rifin	K13851	OC.530158	375	1128	Rifin_STEVOR PspB TAS2R Glycophorin_A DUF4064 Adeno_E3_CR2 P12	Rifin_STEVOR/1		
rifin	pfa	PFL2605w	PFL2605w	PFL2605w   RIF; rifin	K13851	OC.530158	346	1041	Rifin_STEVOR DUF912 TMEM154 DUF1180 DUF2207 Adeno_E3_CR2 Glycophorin_A DUF1191 TMEM156 Baculo_11_kDa DUF2721 PspB DUF3813 7tm_1 DUF3377 Fusion_gly_K Cadherin_C_2 EphA2_TM Tmemb_9 IncA	Rifin_STEVOR/1 DUF912/1		B1
rifin	pfa	PFL2615w	PFL2615w	PFL2615w   RIF; rifin	K13851	OC.530158	351	1056	Rifin_STEVOR DUF912 ECSCR TMEM154 Baculo_11_kDa DUF2207 DUF4366 PspB DDDD Glycophorin_A DUF3377 IncA Octopine_DH Pox_A14 YajC PMT_4TMC Adeno_E3_CR2	Rifin_STEVOR/1		A
rifin	pfa	PFL2625w	PFL2625w	PFL2625w   RIF; rifin	K13851	OC.530158	379	1140	Rifin_STEVOR TMEM154 DUF912 PalH Baculo_11_kDa DUF3377 DUF1180 DUF2207 Adeno_E3_CR2 PspB Amnionless Herpes_gE IncA Glycophorin_A Retrotrans_gag Syndecan DUF443 MCR_beta DUF4366 DcpS	Rifin_STEVOR/1 TMEM154/1		A
rifin	pfa	PFL2630w	PFL2630w	PFL2630w   RIF; rifin	K13851	OC.530158	306	921	Rifin_STEVOR TMEM154 Adeno_E3_CR2 Glycophorin_A DUF2207 AbLIM_anchor Syndecan DUF912 PspB DUF3377 DUSP	Rifin_STEVOR/1		
rifin	pfa	PFL2640c	PFL2640c	PFL2640c   RIF; rifin	K13851	OC.530158	326	981	Rifin_STEVOR DUF912 DUF2207 PspB TMEM154 Prp18 Glycophorin_A	Rifin_STEVOR/1		A
rifin	pfa	PFL2645c	PFL2645c	PFL2645c   RIF; rifin	K13851	OC.530158	317	954	Rifin_STEVOR DUF912 DUF2207 Glycoprotein_B ASFV_J13L DUF4199 PspB TMEM154 HHH_5 BatA HHH_2 IncA Adeno_E3_CR2 Lamp	Rifin_STEVOR/1		A
rifin	pfa	PFL2655w	PFL2655w	PFL2655w   RIF; rifin	K13851	OC.530158	345	1038	Rifin_STEVOR DUF912 TMEM154 DUF1180 DUF2207 DUF1191 Protocadherin DUF3377 Glycophorin_A PspB DAG1 ETRAMP FAM176 N2227 EphA2_TM Cadherin_C_2 Tmemb_9 Baculo_11_kDa TMEM156 SieB	Rifin_STEVOR/1 TMEM154/1 DUF912/1		B1
rifin	pfa	PFL2660w	PFL2660w	PFL2660w   RIF; rifin	K13851	OC.530158	350	1053	Rifin_STEVOR zf-DNA_Pol DUF912 Adeno_E3_CR2 Protocadherin TMEM154 DUF3377 Baculo_11_kDa DUF1191 PspB Glycophorin_A DUF1180 YajC ECSCR DUF2207 IncA DUF3197 EphA2_TM	Rifin_STEVOR/1		A
rifin	pfa	MAL7P1.200									
rifin	pfa	PFA0105w									
rifin	pfa	PFB0050c									
rifin	pfa	PFB1000w									
rifin	pfa	PFD0595c									
rifin	pfd		PFDG_04822	PFDG_04822   rifin	K13851	OC.530158	303	953	Rifin_STEVOR DUF912 Baculo_11_kDa DUF2207 DUF1191 PspB zf-DNA_Pol DUF1180 ECSCR MMPL Adeno_E3_CR2 Cadherin_C_2 DUF2756 TMEM154 EphA2_TM DUF3377 Protocadherin	Rifin_STEVOR/1 DUF912/1	PFDG_04822
rifin	pfd		PFDG_04721	PFDG_04721   rifin	K13851	OC.530158	338	1360	Rifin_STEVOR DUF912 Glycophorin_A TMEM154 DAG1 DUF2207 ECSCR PspB LRRC37AB_C BatD IncA DUF3377 ASFV_J13L DUF4381 Baculo_11_kDa Pox_EPC_I2-L1	Rifin_STEVOR/1 TMEM154/1 DUF912/1 Glycophorin_A/1	PFDG_04721
rifin	pfd		PFDG_02472	PFDG_02472   rifin	K13851	OC.530158	354	1220	Rifin_STEVOR TMEM154 DUF912 DUF3377 PspB DUF4056 YajC DUF1191 Baculo_11_kDa Adeno_E3_CR2 DUF4381 Glycophorin_A COX2_TM DUF1180	Rifin_STEVOR/1	PFDG_02472
rifin	pfd		PFDG_01744	PFDG_01744   rifin	K13851	OC.530158	199	780	Rifin_STEVOR DUF2985	Rifin_STEVOR/1	PFDG_01744
rifin	pfd		PFDG_01521	PFDG_01521   rifin	K13851	OC.530158	224	873	Rifin_STEVOR Rota_NS6 DUF2823 zf-DNA_Pol	Rifin_STEVOR/1	PFDG_01521
rifin	pfd		PFDG_00602	PFDG_00602   rifin	K13851	OC.530158	377	1341	Rifin_STEVOR TMEM154 DUF912 DUF1180 DUF2207 PspB Tmemb_9 Glycophorin_A DUF1191 Baculo_11_kDa DUF3377 Protocadherin DAG1 Cadherin_C_2 YajC Amnionless LAX	Rifin_STEVOR/1 TMEM154/1 DUF912/1	PFDG_00602
rifin	pfd		PFDG_00593	PFDG_00593   rifin	K13851	OC.530158	310	1295	Rifin_STEVOR zinc_ribbon_2	Rifin_STEVOR/1	PFDG_00593
rifin	pfd		PFDG_00260	PFDG_00260   rifin	K13851	OC.530158	330	1074	Rifin_STEVOR TMEM154 DUF912 DUF1191 DUF2207 PspB DUF1180 Herpes_gE DUF4381 DUF3377 YajC DUF3810	Rifin_STEVOR/1 TMEM154/1	PFDG_00260
rifin	pfd		PFDG_00188	PFDG_00188   rifin	K13851	OC.530158	329	1321	Rifin_STEVOR DUF2207 DUF912 DUF1180 ASFV_J13L TctA PspB DUF1191 Baculo_E56 TMEM154 Adeno_E3_CR2 IncA DUF3377 YajC DUF4381	Rifin_STEVOR/1	PFDG_00188
rifin	pfd		PFDG_00183	PFDG_00183   rifin	K13851	OC.530158	279	840	Rifin_STEVOR DUF912 DUF3377 DUF1191 TMEM154 DUF2207 DUF2663 Baculo_11_kDa DUF1180 PspB SNARE_assoc Glycophorin_A DUF1230 DUF4083 Baculo_E56 CBP_BcsF Sigma_reg_N EphA2_TM	Rifin_STEVOR/1 DUF912/1 DUF3377/1	PFDG_00183
rifin	pfd		PFDG_00093	PFDG_00093   conserved hypothetical protein	K13851	OC.530158	348	1249	Rifin_STEVOR TMEM154 DUF3377 Adeno_E3_CR2 DUF912 TRP DUF2207 PspB Lamp Cadherin_C_2 Rax2 Glycophorin_A HemY_N PARM DUF1191 DUF4199 DUF1180 Syndecan DUF4852 ASFV_J13L	Rifin_STEVOR/1 TMEM154/1 DUF3377/1 Adeno_E3_CR2/1	PFDG_00093
rifin	pfd		PFDG_00073	PFDG_00073   rifin	K13851	OC.530158	368	1188	Rifin_STEVOR DUF912 TMEM154 PspB Baculo_11_kDa DUF3377 DUF1180 LRRC37AB_C DUF1191 Glycophorin_A DUF2207 TRP YajC Adeno_E3_CR2 Cadherin_C_2 CHASE3	Rifin_STEVOR/1 DUF912/1	PFDG_00073
